Nunnely Wayne, UCLA (DL), dl, [1993, 1994]
Nunnely Wayne, New Orleans Saints (DL), dl, [1995, 1996]
Nunnely Wayne, San Diego Chargers (DL), dl, [1997, 2008]
Nunnely Wayne, Denver Broncos (DL), dl, [2009, 2011]
Nutt Houston, Oklahoma State (GA), ga, [1981, 1982]
Nutt Houston, Arkansas (GA), ga, [1983, 1983]
Nutt Houston, Arkansas State (assistant), ga, [1984, 1984]
Nutt Houston, Oklahoma State (assistant), ga, [1984, 1989]
Nutt Houston, Arkansas (assistant), ga, [1990, 1992]
Nutt Houston, Murray State, hc, [1993, 1996]
Nutt Houston, Boise State, hc, [1997, 1997]
Nutt Houston, Arkansas, hc, [1998, 2007]
Nutt Houston, Ole Miss, hc, [2008, 2011]
O'Brien Bill, Brown (TE), hc, [1993, 1993]
O'Brien Bill, Brown (ILB), hc, [1994, 1994]
O'Brien Bill, Georgia Tech (GA), ga, [1995, 1997]
O'Brien Bill, Georgia Tech (RB), rb, [1998, 2000]
O'Brien Bill, Georgia Tech (OC/QB), oc, [2001, 2002]
O'Brien Bill, Maryland (RB), rb, [2003, 2004]
O'Brien Bill, Duke (OC/QB), oc, [2005, 2006]
O'Brien Bill, New England Patriots (Asst.), hc, [2007, 2007]
O'Brien Bill, New England Patriots (WR), wr, [2008, 2008]
O'Brien Bill, New England Patriots (QB), qb, [2009, 2010]
O'Brien Bill, New England Patriots (OC), oc, [2011, 2011]
O'Brien Bill, Penn State, hc, [2012, 2013]
O'Brien Bill, Houston Texans, hc, [2014, -1]
O'Brien Tom, Navy (OT/TE), hc, [1975, 1981]
O'Brien Tom, Virginia (OL/OC), ol, [1982, 1996]
O'Brien Tom, Boston College, hc, [1997, 2006]
O'Brien Tom, NC State, hc, [2007, 2012]
O'Brien Tom, Virginia (AHC-O/TE), hc, [2013, -1]
O'Connor Tim, Fort Hays State, hc, [2001, 2004]
Oliver Bill Brother, Auburn (DB), db, [1966, 1970]
Oliver Bill Brother, Alabama (DB), db, [1971, 1979]
Oliver Bill Brother, Chattanooga, hc, [1980, 1983]
Oliver Bill Brother, Memphis Showboats (DC), dc, [1984, 1985]
Oliver Bill Brother, Clemson (DB), db, [1986, 1988]
Oliver Bill Brother, Clemson (DC/DB), dc, [1989, 1989]
Oliver Bill Brother, Alabama (DB), db, [1990, 1992]
Oliver Bill Brother, Alabama (DC), dc, [1993, 1995]
